Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,booking/book,401,0,58,59.76719586292608,37.908250000327826,116.86270800419152,225.62344139650872,9.735466024086064,0.0,58,63,67,68,78,88,100,110,120,120,120
POST,queue/join,721,0,200.0,188.11704373491645,31.55408299062401,439.4153750035912,189.4257975034674,17.50441646724701,0.0,200,230,260,300,430,430,440,440,440,440,440
GET,queue/status,4334,0,61,63.88945179238391,24.717084001167677,191.013292002026,150.63751730503,105.2207225645611,0.0,61,70,77,82,92,100,110,170,190,190,190
,Aggregated,5456,0,61,80.00291754803885,24.717084001167677,439.4153750035912,161.27456011730206,132.46060505589418,0.0,61,71,81,86,110,230,420,430,440,440,440
