Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,booking/book,401,0,300.0,288.80250802022806,53.31225000554696,534.869291994255,225.61097256857855,9.693786357262729,0.0,300,330,350,360,450,490,530,530,530,530,530
POST,queue/join,721,0,230.0,173.026098349182,37.00479200051632,341.91245801048353,189.4479889042996,17.429476218420017,0.0,230,240,250,260,270,280,280,290,340,340,340
GET,queue/status,4352,0,62,64.06544284857318,25.061124993953854,148.61791700241156,150.63855698529412,105.20538211173914,0.0,62,70,77,81,89,98,110,120,140,150,150
,Aggregated,5474,0,66,94.88023929537124,25.061124993953854,534.869291994255,161.24241870661308,132.3286446874219,0.0,66,78,89,98,240,280,340,370,530,530,530
