Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,booking/book,401,0,57,63.90022360340157,36.81479100487195,242.63041699305177,225.6209476309227,6.932470993041627,0.0,57,61,64,67,73,100,210,230,240,240,240
POST,queue/join,721,0,170.0,135.48260851774572,37.39599999971688,194.86187500297092,189.4271844660194,12.464617421404023,0.0,170,180,180,180,190,190,190,190,190,190,190
GET,queue/status,5884,0,64,66.38670057462454,26.29420800076332,136.8223329918692,150.99745071380013,101.72234245151355,0.0,64,74,80,82,92,98,110,110,130,140,140
,Aggregated,7006,0,66,73.35516651261055,26.29420800076332,242.63041699305177,159.223522694833,121.1194308659592,0.0,66,77,83,87,100,170,180,190,210,240,240
