Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/seat/book,1000,0,9300.0,8256.379670962458,88.55958399362862,10425.973834004253,70.156,95.14902844434424,0.0,9300,9700,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,1000,0,9300.0,8256.379670962458,88.55958399362862,10425.973834004253,70.156,95.14902844434424,0.0,9300,9700,10000,10000,10000,10000,10000,10000,10000,10000,10000
