Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/seat/book,1000,0,1900.0,1924.1098633344518,145.18799993675202,3065.9519170876592,219.794,318.2125066962794,0.0,1900,2300,2400,2500,2800,2900,3000,3000,3100,3100,3100
,Aggregated,1000,0,1900.0,1924.1098633344518,145.18799993675202,3065.9519170876592,219.794,318.2125066962794,0.0,1900,2300,2400,2500,2800,2900,3000,3000,3100,3100,3100
