Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/seat/book,1000,0,750.0,706.1865372030297,212.30808307882398,1078.7737499922514,70.156,890.2824457262111,0.0,750,830,870,890,950,980,1000,1000,1100,1100,1100
,Aggregated,1000,0,750.0,706.1865372030297,212.30808307882398,1078.7737499922514,70.156,890.2824457262111,0.0,750,830,870,890,950,980,1000,1000,1100,1100,1100
