Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/seat/book,1000,15,21000.0,22364.851151118666,287.63495793100446,26952.455083024688,218.304,37.00778863078548,0.5551168294617822,21000,26000,26000,26000,26000,27000,27000,27000,27000,27000,27000
,Aggregated,1000,15,21000.0,22364.851151118666,287.63495793100446,26952.455083024688,218.304,37.00778863078548,0.5551168294617822,21000,26000,26000,26000,26000,27000,27000,27000,27000,27000,27000
