Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/seat/book,1000,0,11000.0,10747.680427949064,562.796707963571,12191.230749944225,299.927,81.432734825404,0.0,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000
,Aggregated,1000,0,11000.0,10747.680427949064,562.796707963571,12191.230749944225,299.927,81.432734825404,0.0,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000
