backend,lock_mode,concurrency,bookings,oversells,legitimate,failed,avg_ms,p50_ms,p95_ms,p99_ms,status
mysql,none,1000,944,943,1,56,1042,1100,1500,1500,PASS
mysql,optimistic,1000,1,0,1,999,668,630,990,1000,PASS
mysql,pessimistic,1000,1,0,1,999,1203,1200,1900,2000,PASS
dynamodb,none,1000,0,0,0,1000,17323,17000,19000,19000,FAIL-expected-oversells
dynamodb,optimistic,1000,0,0,0,1000,6969,9200,9800,9800,PASS
dynamodb,pessimistic,1000,0,0,0,1000,14467,14000,16000,16000,PASS
