backend,lock_mode,concurrency,bookings,oversells,legitimate,failed,avg_ms,p50_ms,p95_ms,p99_ms,status
mysql,none,1000,0,953,-953,1000,1750,1800,2400,2600,PASS
mysql,optimistic,1000,0,0,0,1000,904,1000,1200,1300,PASS
mysql,pessimistic,1000,0,0,0,1000,1158,1200,1800,1900,PASS
dynamodb,none,1000,999,998,1,1,22290,22000,27000,27000,PASS
dynamodb,optimistic,1000,1,0,1,999,9024,11000,11000,12000,PASS
dynamodb,pessimistic,1000,1,0,1,999,13353,13000,14000,14000,PASS
